run_id,tool_a,call_a,tool_b,call_b,layer,head,l2,cosine
20260623_203232_300106,web_search,0,web_search,1,13,4,0.161494,0.976337
20260623_203232_300106,web_search,0,web_search,1,13,5,0.137754,0.972404
20260623_203232_300106,web_search,0,web_search,1,13,6,0.222860,0.991322
20260623_203232_300106,web_search,0,web_search,1,13,7,0.212408,0.966037
20260623_203232_300106,web_search,0,web_search,1,14,0,0.142923,0.977891
20260623_203232_300106,web_search,0,web_search,1,14,1,0.137479,0.971976
20260623_203232_300106,web_search,0,web_search,1,14,2,0.122774,0.994119
20260623_203232_300106,web_search,0,web_search,1,14,3,0.222214,0.983689
20260623_203232_300106,web_search,0,web_search,1,14,4,0.383811,0.987902
20260623_203232_300106,web_search,0,web_search,1,14,5,0.229606,0.976305
20260623_203232_300106,web_search,0,web_search,1,14,6,0.209702,0.990372
20260623_203232_300106,web_search,0,web_search,1,14,7,0.128825,0.991052
20260623_203232_300106,web_search,0,web_search,1,15,0,0.229398,0.983305
20260623_203232_300106,web_search,0,web_search,1,15,1,0.165746,0.991015
20260623_203232_300106,web_search,0,web_search,1,15,2,0.151824,0.989289
20260623_203232_300106,web_search,0,web_search,1,15,3,0.169236,0.988176
20260623_203232_300106,web_search,0,web_search,1,15,4,0.302846,0.981956
20260623_203232_300106,web_search,0,web_search,1,15,5,0.348807,0.966560
20260623_203232_300106,web_search,0,web_search,1,15,6,0.182689,0.988089
20260623_203232_300106,web_search,0,web_search,1,15,7,0.176908,0.987725
20260623_203232_300106,web_search,0,web_search,1,16,0,0.290308,0.966207
20260623_203232_300106,web_search,0,web_search,1,16,1,0.591351,0.917623
20260623_203232_300106,web_search,0,web_search,1,16,2,0.211379,0.984844
20260623_203232_300106,web_search,0,web_search,1,16,3,0.208932,0.971623
20260623_203232_300106,web_search,0,web_search,1,16,4,0.243832,0.984715
20260623_203232_300106,web_search,0,web_search,1,16,5,0.202936,0.987420
20260623_203232_300106,web_search,0,web_search,1,16,6,0.201303,0.986774
20260623_203232_300106,web_search,0,web_search,1,16,7,0.221350,0.990257
20260623_203232_300106,web_search,0,web_search,1,17,0,0.263026,0.984050
20260623_203232_300106,web_search,0,web_search,1,17,1,0.270132,0.974005
20260623_203232_300106,web_search,0,web_search,1,17,2,0.269151,0.973473
20260623_203232_300106,web_search,0,web_search,1,17,3,0.431280,0.968343
20260623_203232_300106,web_search,0,web_search,1,17,4,0.178820,0.987091
20260623_203232_300106,web_search,0,web_search,1,17,5,0.298192,0.972707
20260623_203232_300106,web_search,0,web_search,1,17,6,0.232401,0.989569
20260623_203232_300106,web_search,0,web_search,1,17,7,0.203289,0.986709
20260623_203232_300106,web_search,0,web_search,1,18,0,0.572143,0.973236
20260623_203232_300106,web_search,0,web_search,1,18,1,0.216991,0.975944
20260623_203232_300106,web_search,0,web_search,1,18,2,0.392826,0.971768
20260623_203232_300106,web_search,0,web_search,1,18,3,0.303477,0.984705
20260623_203232_300106,web_search,0,web_search,1,18,4,0.264923,0.975384
20260623_203232_300106,web_search,0,web_search,1,18,5,0.268970,0.986477
20260623_203232_300106,web_search,0,web_search,1,18,6,0.271920,0.967960
20260623_203232_300106,web_search,0,web_search,1,18,7,0.335409,0.971687
20260623_203232_300106,web_search,0,web_search,1,19,0,0.332546,0.964785
20260623_203232_300106,web_search,0,web_search,1,19,1,0.570730,0.935580
20260623_203232_300106,web_search,0,web_search,1,19,2,0.232050,0.970596
20260623_203232_300106,web_search,0,web_search,1,19,3,0.299699,0.982595
20260623_203232_300106,web_search,0,web_search,1,19,4,0.365028,0.981482
20260623_203232_300106,web_search,0,web_search,1,19,5,0.565376,0.930816
20260623_203232_300106,web_search,0,web_search,1,19,6,0.240571,0.974394
20260623_203232_300106,web_search,0,web_search,1,19,7,0.429944,0.974514
20260623_203232_300106,web_search,0,web_search,1,20,0,0.724078,0.919332
20260623_203232_300106,web_search,0,web_search,1,20,1,0.354263,0.979312
20260623_203232_300106,web_search,0,web_search,1,20,2,0.517801,0.965658
20260623_203232_300106,web_search,0,web_search,1,20,3,0.553954,0.933883
20260623_203232_300106,web_search,0,web_search,1,20,4,0.511286,0.956223
20260623_203232_300106,web_search,0,web_search,1,20,5,0.274190,0.986028
20260623_203232_300106,web_search,0,web_search,1,20,6,0.640071,0.970496
20260623_203232_300106,web_search,0,web_search,1,20,7,0.335189,0.986793
20260623_203232_300106,web_search,0,web_search,1,21,0,0.367331,0.990661
20260623_203232_300106,web_search,0,web_search,1,21,1,0.522692,0.989751
20260623_203232_300106,web_search,0,web_search,1,21,2,0.424148,0.984479
20260623_203232_300106,web_search,0,web_search,1,21,3,0.269249,0.980501
20260623_203232_300106,web_search,0,web_search,1,21,4,0.306931,0.979882
20260623_203232_300106,web_search,0,web_search,1,21,5,0.735072,0.965393
20260623_203232_300106,web_search,0,web_search,1,21,6,0.320017,0.977517
20260623_203232_300106,web_search,0,web_search,1,21,7,0.297009,0.977522
20260623_203232_300106,web_search,0,web_search,1,22,0,0.626153,0.913682
20260623_203232_300106,web_search,0,web_search,1,22,1,0.303781,0.961650
20260623_203232_300106,web_search,0,web_search,1,22,2,0.611640,0.950287
20260623_203232_300106,web_search,0,web_search,1,22,3,0.443022,0.982286
20260623_203232_300106,web_search,0,web_search,1,22,4,0.384712,0.982739
20260623_203232_300106,web_search,0,web_search,1,22,5,0.461194,0.982402
20260623_203232_300106,web_search,0,web_search,1,22,6,0.299179,0.980862
20260623_203232_300106,web_search,0,web_search,1,22,7,0.549764,0.979025
20260623_203232_300106,web_search,0,web_search,1,23,0,0.517177,0.965646
20260623_203232_300106,web_search,0,web_search,1,23,1,0.529765,0.978835
20260623_203232_300106,web_search,0,web_search,1,23,2,0.484047,0.972915
20260623_203232_300106,web_search,0,web_search,1,23,3,0.347148,0.982737
20260623_203232_300106,web_search,0,web_search,1,23,4,0.549939,0.943225
20260623_203232_300106,web_search,0,web_search,1,23,5,0.473321,0.967937
20260623_203232_300106,web_search,0,web_search,1,23,6,0.484537,0.976159
20260623_203232_300106,web_search,0,web_search,1,23,7,0.456794,0.965279
20260623_203232_300106,web_search,0,web_search,1,24,0,0.502641,0.989110
20260623_203232_300106,web_search,0,web_search,1,24,1,0.617793,0.975523
20260623_203232_300106,web_search,0,web_search,1,24,2,0.534456,0.978692
20260623_203232_300106,web_search,0,web_search,1,24,3,0.423331,0.979560
20260623_203232_300106,web_search,0,web_search,1,24,4,0.389728,0.990413
20260623_203232_300106,web_search,0,web_search,1,24,5,0.476391,0.965510
20260623_203232_300106,web_search,0,web_search,1,24,6,0.614205,0.963473
20260623_203232_300106,web_search,0,web_search,1,24,7,0.416805,0.978964
20260623_203232_300106,web_search,0,web_search,1,25,0,0.544360,0.964211
20260623_203232_300106,web_search,0,web_search,1,25,1,0.518939,0.986455
20260623_203232_300106,web_search,0,web_search,1,25,2,0.961893,0.951116
20260623_203232_300106,web_search,0,web_search,1,25,3,0.538035,0.940577
20260623_203232_300106,web_search,0,web_search,1,25,4,0.816365,0.970876
20260623_203232_300106,web_search,0,web_search,1,25,5,0.527357,0.975817
20260623_203232_300106,web_search,0,web_search,1,25,6,0.444358,0.982618
20260623_203232_300106,web_search,0,web_search,1,25,7,0.406726,0.982323
20260623_203232_300106,web_search,0,web_search,1,26,0,0.822276,0.940115
20260623_203232_300106,web_search,0,web_search,1,26,1,0.755668,0.982427
20260623_203232_300106,web_search,0,web_search,1,26,2,0.388708,0.990476
20260623_203232_300106,web_search,0,web_search,1,26,3,0.465437,0.986906
20260623_203232_300106,web_search,0,web_search,1,26,4,0.533557,0.983368
20260623_203232_300106,web_search,0,web_search,1,26,5,0.369503,0.979274
20260623_203232_300106,web_search,0,web_search,1,26,6,0.787525,0.979129
20260623_203232_300106,web_search,0,web_search,1,26,7,0.448295,0.985600
20260623_203232_300106,web_search,0,web_search,1,27,0,0.708947,0.985550
20260623_203232_300106,web_search,0,web_search,1,27,1,1.239047,0.961568
20260623_203232_300106,web_search,0,web_search,1,27,2,1.358963,0.927216
20260623_203232_300106,web_search,0,web_search,1,27,3,0.602744,0.980550
20260623_203232_300106,web_search,0,web_search,1,27,4,0.694528,0.977262
20260623_203232_300106,web_search,0,web_search,1,27,5,0.505739,0.975176
20260623_203232_300106,web_search,0,web_search,1,27,6,0.508517,0.986363
20260623_203232_300106,web_search,0,web_search,1,27,7,1.201732,0.947796
20260623_203232_300106,web_search,0,web_search,1,28,0,0.544008,0.985765
20260623_203232_300106,web_search,0,web_search,1,28,1,0.546093,0.986171
20260623_203232_300106,web_search,0,web_search,1,28,2,0.625644,0.981724
20260623_203232_300106,web_search,0,web_search,1,28,3,0.755253,0.948010
20260623_203232_300106,web_search,0,web_search,1,28,4,0.649760,0.983379
20260623_203232_300106,web_search,0,web_search,1,28,5,0.798139,0.985132
20260623_203232_300106,web_search,0,web_search,1,28,6,0.628572,0.985299
20260623_203232_300106,web_search,0,web_search,1,28,7,0.565743,0.976027
20260623_203232_300106,web_search,0,web_search,1,29,0,0.686392,0.980256
20260623_203232_300106,web_search,0,web_search,1,29,1,0.878024,0.975036
20260623_203232_300106,web_search,0,web_search,1,29,2,0.657782,0.963764
20260623_203232_300106,web_search,0,web_search,1,29,3,1.460941,0.988226
20260623_203232_300106,web_search,0,web_search,1,29,4,0.922098,0.981679
20260623_203232_300106,web_search,0,web_search,1,29,5,1.054825,0.983238
20260623_203232_300106,web_search,0,web_search,1,29,6,0.766881,0.979777
20260623_203232_300106,web_search,0,web_search,1,29,7,1.971162,0.975055
20260623_203232_300106,web_search,0,web_search,1,30,0,0.768941,0.976612
20260623_203232_300106,web_search,0,web_search,1,30,1,0.817446,0.989630
20260623_203232_300106,web_search,0,web_search,1,30,2,0.892901,0.976132
20260623_203232_300106,web_search,0,web_search,1,30,3,1.544732,0.988242
20260623_203232_300106,web_search,0,web_search,1,30,4,1.213639,0.987744
20260623_203232_300106,web_search,0,web_search,1,30,5,0.715831,0.984479
20260623_203232_300106,web_search,0,web_search,1,30,6,1.093004,0.966152
20260623_203232_300106,web_search,0,web_search,1,30,7,2.385810,0.957515
20260623_203232_300106,web_search,0,web_search,1,31,0,1.138885,0.986313
20260623_203232_300106,web_search,0,web_search,1,31,1,1.017878,0.988238
20260623_203232_300106,web_search,0,web_search,1,31,2,0.821679,0.982413
20260623_203232_300106,web_search,0,web_search,1,31,3,1.028142,0.990396
20260623_203232_300106,web_search,0,web_search,1,31,4,0.884812,0.990685
20260623_203232_300106,web_search,0,web_search,1,31,5,1.118719,0.964775
20260623_203232_300106,web_search,0,web_search,1,31,6,2.559902,0.949080
20260623_203232_300106,web_search,0,web_search,1,31,7,1.267119,0.976158
20260623_203232_300106,web_search,0,web_search,1,32,0,1.517568,0.983848
20260623_203232_300106,web_search,0,web_search,1,32,1,1.079130,0.977560
20260623_203232_300106,web_search,0,web_search,1,32,2,0.980813,0.977225
20260623_203232_300106,web_search,0,web_search,1,32,3,1.184981,0.986772
20260623_203232_300106,web_search,0,web_search,1,32,4,3.111242,0.979610
20260623_203232_300106,web_search,0,web_search,1,32,5,1.064227,0.983301
20260623_203232_300106,web_search,0,web_search,1,32,6,1.648013,0.986047
20260623_203232_300106,web_search,0,web_search,1,32,7,2.499581,0.966225
20260623_203232_300106,web_search,0,web_search,1,33,0,1.332124,0.979556
20260623_203232_300106,web_search,0,web_search,1,33,1,0.946677,0.986107
20260623_203232_300106,web_search,0,web_search,1,33,2,1.520580,0.975625
20260623_203232_300106,web_search,0,web_search,1,33,3,1.363184,0.986210
20260623_203232_300106,web_search,0,web_search,1,33,4,1.228973,0.981921
20260623_203232_300106,web_search,0,web_search,1,33,5,1.246861,0.988049
20260623_203232_300106,web_search,0,web_search,1,33,6,1.276161,0.979136
20260623_203232_300106,web_search,0,web_search,1,33,7,1.717521,0.979468
20260623_203232_300106,web_search,0,web_search,1,34,0,2.846888,0.981529
20260623_203232_300106,web_search,0,web_search,1,34,1,1.361834,0.978127
20260623_203232_300106,web_search,0,web_search,1,34,2,1.396309,0.987792
20260623_203232_300106,web_search,0,web_search,1,34,3,1.466863,0.988683
20260623_203232_300106,web_search,0,web_search,1,34,4,2.685603,0.971850
20260623_203232_300106,web_search,0,web_search,1,34,5,2.043347,0.964848
20260623_203232_300106,web_search,0,web_search,1,34,6,1.759722,0.974402
20260623_203232_300106,web_search,0,web_search,1,34,7,1.461830,0.985169
20260623_203232_300106,web_search,0,web_search,1,35,0,1.619925,0.990637
20260623_203232_300106,web_search,0,web_search,1,35,1,1.837238,0.973111
20260623_203232_300106,web_search,0,web_search,1,35,2,1.767436,0.982981
20260623_203232_300106,web_search,0,web_search,1,35,3,1.336917,0.986503
20260623_203232_300106,web_search,0,web_search,1,35,4,1.902319,0.987495
20260623_203232_300106,web_search,0,web_search,1,35,5,2.376595,0.983849
20260623_203232_300106,web_search,0,web_search,1,35,6,1.672431,0.989190
20260623_203232_300106,web_search,0,web_search,1,35,7,2.489903,0.975866
20260623_203232_300106,web_search,0,web_search,1,36,0,2.263728,0.985824
20260623_203232_300106,web_search,0,web_search,1,36,1,4.927966,0.986471
20260623_203232_300106,web_search,0,web_search,1,36,2,2.219230,0.971033
20260623_203232_300106,web_search,0,web_search,1,36,3,2.612824,0.969802
20260623_203232_300106,web_search,0,web_search,1,36,4,2.390333,0.980789
20260623_203232_300106,web_search,0,web_search,1,36,5,1.470416,0.989714
20260623_203232_300106,web_search,0,web_search,1,36,6,2.640045,0.987296
20260623_203232_300106,web_search,0,web_search,1,36,7,1.998479,0.986274
20260623_203232_300106,web_search,0,web_search,1,37,0,1.967933,0.983013
20260623_203232_300106,web_search,0,web_search,1,37,1,2.334163,0.979469
20260623_203232_300106,web_search,0,web_search,1,37,2,3.891465,0.973741
20260623_203232_300106,web_search,0,web_search,1,37,3,2.073194,0.983591
